Year,Value1,Value2
1960,59184116489,2
1961,49557050183,2
1962,46685178504,2
1963,50097303271,2
1964,59062254890,2
1965,69709153115,2
1966,75879434776,2
1967,72057028560,2
1968,69993497892,2
1969,78718820478,2
1970,91506211306,2
1971,98562023844,2
1972,1.12E+11,2
1973,1.37E+11,2
1974,1.42E+11,2
1975,1.61E+11,2
1976,1.52E+11,2
1977,1.72E+11,2
1978,1.48E+11,2
1979,1.77E+11,2
1980,1.90E+11,2
1981,1.94E+11,2
1982,2.04E+11,2
1983,2.29E+11,2
1984,2.58E+11,2
1985,3.07E+11,2
1986,2.99E+11,2
1987,2.71E+11,2
1988,3.11E+11,2
1989,3.46E+11,2
1990,3.59E+11,2
1991,3.81E+11,2
1992,4.25E+11,2
1993,4.43E+11,2
1994,5.62E+11,2
1995,7.32E+11,2
1996,8.61E+11,2
1997,9.58E+11,2
1998,1.03E+12,2
1999,1.09E+12,2
2000,1.21E+12,2
2001,1.33E+12,2
2002,1.46E+12,2
2003,1.65E+12,2
2004,1.94E+12,2
2005,2.27E+12,2
2006,2.73E+12,2
2007,3.52E+12,2
2008,4.56E+12,2
2009,5.06E+12,2
2010,6.04E+12,2
2011,7.49E+12,2
2012,8.46E+12,2
2013,9.49E+12,2
2014,1.04E+13,2
2015,NA,2
